Fish ID,Fish Name,Rarity,Habitat
1,Static Stingray Prime,Rare,Corporate Canals
2,Venom Dragonfish VX,Legendary,Flooded Metro
3,Drift Eel Omega,Common,Frozen Docks
4,Obsidian Swordfish Delta,Rare,Frozen Docks
5,Cyber Leviathan Specter,Rare,Neon Harbor
6,Crystal Seahorse Ultra,Rare,Frozen Docks
7,Plasma Pike MK-II,Epic,Frozen Docks
8,Storm Eel VX,Epic,Deep Abyss
9,Static Squid Delta,Epic,Corporate Canals
10,Quantum Bass Core,Rare,Deep Abyss
11,Static Shark Core,Common,Frozen Docks
12,Venom Crawler Zero,Epic,Corporate Canals
13,Scarlet Skipper Ion,Epic,Skywater Reservoir
14,Vapor Ray Ion,Common,Skywater Reservoir
15,Glitch Snapper Core,Epic,Deep Abyss
16,Scarlet Swordfish MK-II,Legendary,Skywater Reservoir
17,Static Koi Omega,Common,Flooded Metro
18,Grim Leviathan Cipher,Rare,Corporate Canals
19,Solar Swordfish Vortex,Epic,Skywater Reservoir
20,Vapor Bass Zero,Common,Flooded Metro
21,Echo Seahorse Delta,Epic,Flooded Metro
22,Cyber Jelly Echo,Uncommon,Skywater Reservoir
23,Crystal Squid Specter,Uncommon,Deep Abyss
24,Storm Squid Zero,Common,Corporate Canals
25,Chrome Barracuda Protocol,Uncommon,Skywater Reservoir
26,Titan Seahorse MK-I,Legendary,Corporate Canals
27,Abyss Carp Cipher,Rare,Flooded Metro
28,Lunar Shark Prime,Uncommon,Blackwater Trenches
29,Plasma Minnow Protocol,Rare,Skywater Reservoir
30,Lunar Piranha X,Epic,Neon Harbor
31,Pulse Stingray Flux,Common,Blackwater Trenches
32,Venom Kraken Omega,Uncommon,Skywater Reservoir
33,Venom Ray Pulse,Common,Flooded Metro
34,Lunar Eel Vortex,Common,Corporate Canals
35,Circuit Piranha VX,Rare,Deep Abyss
36,Storm Marlin Vortex,Rare,Toxic Reefs
37,Cyber Barracuda Protocol,Legendary,Flooded Metro
38,Grim Carp Flux,Legendary,Skywater Reservoir
39,Obsidian Pike Specter,Uncommon,Toxic Reefs
40,Static Ray MK-I,Legendary,Deep Abyss
41,Abyss Koi X,Epic,Corporate Canals
42,Abyss Stingray Echo,Uncommon,Flooded Metro
43,Lunar Catfish VX,Legendary,Frozen Docks
44,Solar Snapper Cipher,Legendary,Neon Harbor
45,Hydra Stingray Omega,Legendary,Toxic Reefs
46,Neon Squid Omega,Common,Blackwater Trenches
47,Cyber Ray Ultra,Common,Frozen Docks
48,Venom Manta Vortex,Rare,Frozen Docks
49,Scarlet Piranha X,Epic,Neon Harbor
50,Glitch Seahorse Delta,Epic,Blackwater Trenches
51,Radiant Skipper MK-I,Legendary,Skywater Reservoir
52,Nova Whale Zero,Common,Frozen Docks
53,Scarlet Crawler Prime,Rare,Deep Abyss
54,Hydra Snapper Protocol,Uncommon,Toxic Reefs
55,Storm Salmon Pulse,Uncommon,Toxic Reefs
56,Radiant Whale MK-II,Uncommon,Frozen Docks
57,Vapor Catfish Core,Uncommon,Neon Harbor
58,Storm Guppy Protocol,Epic,Flooded Metro
59,Quantum Manta Specter,Rare,Blackwater Trenches
60,Titan Ray Core,Rare,Blackwater Trenches
61,Obsidian Swordfish Vortex,Rare,Flooded Metro
62,Plasma Tuna Cipher,Rare,Toxic Reefs
63,Turbo Crawler Cipher,Uncommon,Flooded Metro
64,Nano Crawler Reactor,Uncommon,Corporate Canals
65,Glitch Whale Ultra,Common,Frozen Docks
66,Crystal Kraken MK-I,Legendary,Deep Abyss
67,Cyber Snapper Echo,Common,Deep Abyss
68,Vapor Piranha Ion,Common,Flooded Metro
69,Static Perch X,Legendary,Deep Abyss
70,Static Koi Echo,Uncommon,Deep Abyss
71,Quantum Snapper Ion,Uncommon,Toxic Reefs
72,Turbo Pike Specter,Rare,Flooded Metro
73,Static Snapper Omega,Epic,Deep Abyss
74,Solar Minnow Protocol,Epic,Corporate Canals
75,Holo Seahorse Prime,Legendary,Toxic Reefs
76,Ghost Catfish Delta,Legendary,Neon Harbor
77,Radiant Manta Ion,Legendary,Frozen Docks
78,Nano Pike Delta,Epic,Neon Harbor
79,Scarlet Skipper Flux,Epic,Skywater Reservoir
80,Nova Salmon Specter,Common,Deep Abyss
81,Venom Marlin Zero,Uncommon,Neon Harbor
82,Neon Leviathan Echo,Legendary,Frozen Docks
83,Quantum Swordfish Pulse,Legendary,Toxic Reefs
84,Grim Leviathan Ultra,Common,Deep Abyss
85,Cyber Perch Protocol,Uncommon,Blackwater Trenches
86,Radiant Eel X,Uncommon,Flooded Metro
87,Solar Tuna X,Uncommon,Blackwater Trenches
88,Nano Seahorse Pulse,Epic,Toxic Reefs
89,Nova Dragonfish Omega,Epic,Flooded Metro
90,Drift Koi Core,Epic,Toxic Reefs
91,Glitch Marlin Ultra,Uncommon,Toxic Reefs
92,Pulse Minnow Ultra,Common,Flooded Metro
93,Ghost Guppy Specter,Epic,Neon Harbor
94,Titan Guppy Nova,Epic,Deep Abyss
95,Chrome Minnow Omega,Legendary,Toxic Reefs
96,Crystal Jelly Reactor,Uncommon,Deep Abyss
97,Crystal Koi MK-II,Rare,Flooded Metro
98,Cyber Pike Cipher,Uncommon,Frozen Docks
99,Grim Minnow Pulse,Rare,Flooded Metro
100,Obsidian Squid Reactor,Epic,Blackwater Trenches
101,Circuit Jelly Reactor,Rare,Corporate Canals
102,Solar Manta Protocol,Common,Frozen Docks
103,Abyss Bass Vortex,Common,Blackwater Trenches
104,Chrome Barracuda Vortex,Legendary,Toxic Reefs
105,Scarlet Catfish Pulse,Common,Blackwater Trenches
106,Obsidian Pike Ion,Rare,Blackwater Trenches
107,Holo Marlin Ultra,Epic,Toxic Reefs
108,Cyber Salmon Ultra,Rare,Neon Harbor
109,Circuit Dragonfish Flux,Uncommon,Toxic Reefs
110,Solar Whale Reactor,Legendary,Skywater Reservoir
111,Nano Stingray Ultra,Epic,Frozen Docks
112,Plasma Swordfish Ultra,Legendary,Neon Harbor
113,Venom Perch Ultra,Rare,Skywater Reservoir
114,Crystal Snapper Prime,Epic,Flooded Metro
115,Neon Catfish MK-II,Legendary,Deep Abyss
116,Grim Barracuda VX,Uncommon,Frozen Docks
117,Neon Skipper Core,Rare,Frozen Docks
118,Abyss Angler Ultra,Epic,Toxic Reefs
119,Ghost Perch X,Epic,Deep Abyss
120,Holo Salmon Protocol,Epic,Flooded Metro
121,Obsidian Kraken Nova,Epic,Toxic Reefs
122,Neon Bass Pulse,Epic,Blackwater Trenches
123,Neon Eel Omega,Epic,Skywater Reservoir
124,Lunar Dragonfish Nova,Legendary,Frozen Docks
125,Obsidian Angler Vortex,Rare,Frozen Docks
126,Pulse Ray Vortex,Legendary,Blackwater Trenches
127,Nova Pike X,Common,Skywater Reservoir
128,Storm Crawler Ion,Legendary,Skywater Reservoir
129,Void Skipper Prime,Legendary,Frozen Docks
130,Nova Manta Ion,Legendary,Corporate Canals
